BroadArea,SubArea,,Prefix,Title,Credits,Requirement
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ECON 539 Economics of Natural Resources Seminar III (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ENVIR 502 Business Strategy and the Natural Environment (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ESRM 320 Marketing and Management from a Sustainability Perspective (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,ESRM 321 Finance and Accounting from a Sustainability Perspective (5) I&S/NW,,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,"ESRM 423 International Trade, Marketing, and the Environment (3) I&S/NW",,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,I BUS 545 Cases in Sustainability (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,JSIS A 429/SCAND 479 Eco-Capitalism (5),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,PB AF 547 Water Resource Economics (4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Business/Economics,,PB AF 594 Economic Approaches to Environmental Management (3/4),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Education,,EDC&I 472 Environmental Education for Teachers (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Thinking/Decision making,,ENVIR 503 Role of Scientific Information in Environmental Decisions (3),,,
UNDERSTANDING PEOPLE RELATIVE TO THE ENVIRONMENT,Thinking/Decision making,,ENVIR 599 Role of Scientific Information in Environmental Decisions (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BIOL 240 The Urban Farm (3) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,"BIOL 478/ENVIR 478/FISH 478 Topics in Sustainable Fisheries (3, max. 9) I&S/NW",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BSE 480 Bioresource Design I (4) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,BSE 481 Bioresource Design II (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,C ENV 110 Introduction to Food and the Environment (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,ESRM 311 Soils and Land Use (3) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,FISH 478/578æTopics in Sustainable Fisheries,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,"FISH 578 Graduate Topics in Sustainable Fisheries (2, max. 6)",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,IPM 510æWater Systems (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,IPM 511æFood Systems (3),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,Food & products for people,,NUTR 302 Food Studies: Harvest to Health (3) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 101 Forests and Society (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 150 Wildlife in the Modern World (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 200 Society and Sustainable Environments (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,ESRM 471 Urban Forest Landscapes (5) NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,FISH 101 Water and Society (5) I&S/NW,,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,"SEFS 549 Urban Horticulture Seminar (1, max. 6)",,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SEFS 561 Public Presentation in Urban Horticulture (2),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SEFS 588/GEOG 588 Advanced Urban Ecology (5),,,
UNDERSTANDING THE ENVIRONMENT RELATIVE TO PEOPLE,People and the natural world,,SMEA 103/ENVIR 103/SIS 103 Society and the Oceans (5) I&S/NW,,,
URBAN MITIGATION,Planning & Design,,? L ARCH 341 Site Planning (3),,,
URBAN MITIGATION,Planning & Design,,? L ARCH 362 Design of Cities (3) VLPA,,,
URBAN MITIGATION,Planning & Design,,? L ARCH 504 Regional Landscape Planning (1-6),,,
URBAN MITIGATION,Planning & Design,,? L ARCH 561 Regional Landscape Planning and Design (2),,,
URBAN MITIGATION,Planning & Design,,CEE 562 Livable Communities and Design (4),,,
URBAN MITIGATION,Planning & Design,,CEE 580 Urban Transportation Planning (4),,,
URBAN MITIGATION,Planning & Design,,CEP 200 Introduction to Community and Environmental Planning (5) I&S,,,
URBAN MITIGATION,Planning & Design,,URBDP 200 Introduction to Urbanization: Planning and Designing Alternative Urban Futures (5),,,
URBAN MITIGATION,Planning & Design,,"URBDP 450 Introduction to Land Use, Growth Management, and Environmental Planning (3)",,,
